is_guest_login,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,service_imap4,flag_RSTO,label
0.0,0.0,0.0,0.0,0.0,0
1.3293553e-06,2.6112212e-07,3.28919e-08,3.4695805e-07,2.3345149e-07,3
0.0,0.02,0.0,0.0,0.0,0
0.0,0.0,0.02,0.0,0.0,0
0.0,0.0,0.01,0.0,0.0,0
0.0,0.05,0.01,0.0,0.0,0
6.20968e-07,9.144682e-08,8.058355e-09,1.376512e-07,1.3630739e-07,3
0.0,0.0,0.0,0.0,0.0,0
5.368828e-07,7.281868e-08,5.510128e-09,1.10605946e-07,7.986423e-08,3
1.3841405e-07,1.4713252e-08,1.0057684e-09,2.4899052e-08,2.3290237e-08,3
0.0,0.47,0.0,0.0,0.0,0
2.1701999e-06,2.5905692e-07,3.18781e-08,4.0697927e-07,3.4615033e-07,3
4.2368947e-06,5.7428025e-07,6.95777e-08,7.201294e-07,7.1637635e-07,3
0.0,0.06,0.0,0.0,0.0,0
0.0,0.05,0.01,0.0,0.0,0
4.743624e-06,6.6864874e-07,1.0001548e-07,8.972219e-07,8.2119635e-07,3
0.0,0.02,0.01,0.0,0.0,0
0.0,0.0,0.02,0.0,0.0,0
0.0,0.02,0.0,0.0,0.0,0
9.359004e-07,1.530462e-07,1.5371521e-08,1.8456313e-07,1.5825808e-07,3
0.0,0.01,0.0,0.0,0.0,0
0.0,0.03,0.0,0.0,0.0,0
0.0,0.0,0.01,0.0,0.0,0
1.8430089e-06,2.4861995e-07,2.5687278e-08,4.2704215e-07,3.3960472e-07,3
0.0,0.0,0.02,0.0,0.0,0
2.3812113e-06,3.001286e-07,3.8607823e-08,4.8721483e-07,4.0039274e-07,3
0.0,0.0,0.0,0.0,0.0,0
7.705948e-07,9.872666e-08,1.0734222e-08,1.2993462e-07,1.0979232e-07,3
1.0639744e-06,1.1957252e-07,1.2919255e-08,1.9736505e-07,1.5031664e-07,3
0.0,0.0,0.02,0.0,0.0,0
0.0,0.0,0.06,0.0,0.0,0
0.0,0.0,0.03,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.01,0.0,0.0,0
0.0,0.03,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.02,0.0,0.0,0
0.0,0.75,0.0,0.0,0.0,0
0.0,0.0,0.01,0.0,0.0,0
0.0,0.07,0.0,0.0,0.0,0
0.0,0.05,0.0,0.0,0.0,0
0.0,0.04,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
1.5771465e-06,1.7108383e-07,2.2647892e-08,3.2276478e-07,2.696202e-07,3
4.657215e-07,5.6390363e-08,4.288977e-09,1.08819734e-07,7.381615e-08,3
0.0,0.0,0.03,0.0,0.0,0
1.6025209e-06,2.75372e-07,2.8527143e-08,3.7458304e-07,3.4145586e-07,3
1.0970412e-05,1.838487e-06,2.4383652e-07,2.7290814e-06,2.2494737e-06,3
0.0,0.0,0.01,0.0,0.0,0
1.272978e-06,1.4827565e-07,1.907082e-08,2.1394986e-07,1.97644e-07,3
1.0,0.22,0.0,0.0,0.0,0
0.0,0.0,0.04,0.0,0.0,0
3.8601647e-07,4.972276e-08,3.8181596e-09,7.6184755e-08,5.8069528e-08,3
3.671786e-07,4.684082e-08,4.125534e-09,8.195348e-08,5.6044133e-08,3
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.03,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
2.4852513e-06,3.1120814e-07,4.1705057e-08,4.6845878e-07,3.5089795e-07,3
0.0,0.0,0.02,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.04,0.0,0.0,0
0.0,0.04,0.01,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.09,0.0,0.0,0.0,0
0.0,0.0,0.03,0.0,0.0,0
0.0,0.0,0.01,0.0,0.0,0
3.1125268e-07,4.9756345e-08,4.8822706e-09,7.061734e-08,5.364011e-08,3
2.1919857e-06,3.140803e-07,4.3231115e-08,4.797481e-07,4.3479176e-07,3
0.0,0.01,0.0,0.0,0.0,0
1.9687175e-06,3.0587304e-07,4.0986492e-08,4.0756032e-07,2.9185665e-07,3
0.0,0.01,0.0,0.0,0.0,0
3.0734604e-06,4.8177054e-07,5.7640154e-08,7.52566e-07,4.6614807e-07,3
0.0,0.0,0.06,0.0,0.0,0
8.452417e-08,7.2754798e-09,8.5700874e-10,1.3907503e-08,9.0626875e-09,3
7.946015e-06,1.2980084e-06,1.956923e-07,2.1809035e-06,1.7413636e-06,3
0.0,0.0,0.02,0.0,0.0,0
0.0,0.01,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
